"ticker","id","country","type_label"
"THRM US Equity","Gentherm Inc","US","Automobiles & Components"
"7259 JP Equity","Aisin Seiki Co Ltd","JP","Automobiles & Components"
"3156 JP Equity","Restar Holdings Corp","JP","Technology Hardware & Equipmen"
"5542 JP Equity","Shinhokoku Steel Corp","JP","Materials"
"2454 TT Equity","MediaTek Inc","TW","Semiconductors & Semiconductor"
"TTWO US Equity","Take-Two Interactive Software Inc","US","Media & Entertainment"
"SOI FP Equity","SOITEC","FR","Semiconductors & Semiconductor"
"6627 JP Equity","Tera Probe Inc","JP","Semiconductors & Semiconductor"
"3436 JP Equity","SUMCO Corp","JP","Semiconductors & Semiconductor"
"CY US Equity","Cypress Semiconductor Corp","US","Semiconductors & Semiconductor"
"6988 JP Equity","Nitto Denko Corp","JP","Materials"
"4716 JP Equity","Oracle Corp Japan","JP","Software & Services"
"TEL US Equity","TE Connectivity Ltd","CH","Technology Hardware & Equipmen"
"086520 KS Equity","Ecopro Co Ltd","KR","Materials"
"BEKB BB Equity","Bekaert SA","BE","Materials"
"HXL US Equity","Hexcel Corp","US","Capital Goods"
"CSX US Equity","CSX Corp","US","Transportation"
"KEMIRA FH Equity","Kemira Oyj","FI","Materials"
"2357 TT Equity","Asustek Computer Inc","TW","Technology Hardware & Equipmen"
"6081398Z SP Equity","TOA E&I International Pte Ltd","SG","#N/A N/A"
"004150 KS Equity","Hansol Holdings Co Ltd","KR","Materials"
"006260 KS Equity","LS Corp","KR","Capital Goods"
"011170 KS Equity","Lotte Chemical Corp","KR","Materials"
"010420 KS Equity","Hansol PNS Co Ltd","KR","Software & Services"
"4187 JP Equity","Osaka Organic Chemical Industry Ltd","JP","Materials"
"5020 JP Equity","JXTG Holdings Inc","JP","Energy"
"8015 JP Equity","Toyota Tsusho Corp","JP","Capital Goods"
"7011 JP Equity","Mitsubishi Heavy Industries Ltd","JP","Capital Goods"
"5411 JP Equity","JFE Holdings Inc","JP","Materials"
"KU2 GR Equity","KUKA AG","DE","Capital Goods"
"4061 JP Equity","Denka Co Ltd","JP","Materials"
"4114 JP Equity","Nippon Shokubai Co Ltd","JP","Materials"
"SRT GR Equity","Sartorius AG","DE","Health Care Equipment & Servic"
"RIO LN Equity","Rio Tinto PLC","GB","Materials"
"5352 JP Equity","Krosaki Harima Corp","JP","Materials"
"5563 JP Equity","Nippon Denko Co Ltd","JP","Materials"
"9104 JP Equity","Mitsui OSK Lines Ltd","JP","Transportation"
"PG US Equity","Procter & Gamble Co/The","US","Household & Personal Products"
"JBSS3 BZ Equity","JBS SA","BR","Food, Beverage & Tobacco"
"PEP US Equity","PepsiCo Inc","US","Food, Beverage & Tobacco"
"HBI US Equity","Hanesbrands Inc","US","Consumer Durables & Apparel"
